Symbol	Description
AAC	Australia Acquisition
AACC	Asset Acceptance Capital
AACOU	Australia Acquisition
AACOW	Australia Acquisition
AAME	Atlantic American Corp.
AAON	Aaon
AAPL	Apple Inc.
AATI	Advanced Analogic Technologies
AAWW	Atlas Air Worldwide Holdings
AAXJ	MSCI All Country Asia Ex Japan
ABAT	Advanced Battery Technologies
ABAX	Abaxis
ABBC	Abington Bancorp
ABCB	Ameris Bancorp
ABCD	Cambium Learning Group
ABCO	The Advisory Board Company
ABCW	Anchor Bancorp Wisconsin Inc.
ABFS	Arkansas Best Corp.
ABIO	Arca Biopharma
ABMD	Abiomed
ABTL	Autobytel Inc.
ABVA	Alliance Bankshares Corp.
ACAD	Acadia Pharmaceuticals Inc.
ACAS	American Capital
ACAT	Arctic Cat Inc.
ACCL	Accelrys
ACET	Aceto Corp.
ACFC	Atlantic Coast Federal Corp.
ACFN	Acorn Energy
ACGL	Arch Capital Group Ltd
ACHN	Achillion Pharmaceuticals
ACIW	Aci Worldwide
ACLS	Axcelis Technologies
ACMR	A.C. Moore Arts & Crafts
ACNB	Acnb Corp.
ACOM	Ancestry.Com
ACOR	Acorda Therapeutics
ACPW	Active Power
ACRX	Acelrx Pharmaceuticals
ACTG	Acacia Research Corp.
ACTS	Actions Semiconductor Co.
ACUR	Acura Pharmaceuticals
ACWI	MSCI Acwi
ACWX	MSCI Acwi Ex US
ACXM	Acxiom Corp.
ADAT	Authentidate Holding
ADBE	Adobe Systems Incorporated
ADEP	Adept Technology
ADES	Ada-Es
ADGF	Adams Golf
ADLR	Adolor Corp.
ADP	Automatic Data Processing
ADPI	American Dental Partners
ADRA	Bldrs Asia 50 Adr
ADRD	Bldrs Developed Markets 100 Adr
ADRE	Bldrs Emerging Markets 50 Adr
ADRU	Bldrs Europe 100 Adr
ADSK	Autodesk
ADTN	Adtran
ADUS	Addus Homecare Corp.
ADVS	Advent Software
AEGR	Aegerion Pharmaceuticals
AEHR	Aehr Test Systems
AEIS	Advanced Energy Industries
AEPI	Aep Industries Inc.
AERG	Applied Energetics Inc
AERL	Asia Entertainment & Resources Ltd
AETI	American Electric Technologies
AEY	Addvantage Technologies Group
AEZS	Aeterna Zentaris
AFAM	Almost Family Inc
AFCB	Athens Bancshares Corp.
AFCE	Afc Enterprises
AFFM	Affirmative Insurance Holdings
AFFX	Affymetrix
AFFY	Affymax
AFOP	Alliance Fiber Optic Products
AFSI	Amtrust Financial Services
AGEN	Agenus Inc.
AGII	Argo Group International Holdings Ltd
AGNC	American Capital Agency
AGYS	Agilysys
AHCI	Allied Healthcare International Inc.
AHGP	Alliance Holdings Gp L.P.
AHPI	Allied Healthcare Products
AIMC	Altra Holdings
AINV	Apollo Investment Corp.
AIRM	Air Methods Corp.
AIRT	Air T
AIXG	Aixtron Se
AKAM	Akamai Technologies
AKRX	Akorn
ALCO	Alico
ALGN	Align Technology
ALGT	Allegiant Travel Company
ALIM	Alimera Sciences
ALKS	Alkermes
ALLB	Alliance Bank
ALLT	Allot Communications Ltd
ALNC	Alliance Financial Corp.
ALNY	Alnylam Pharmaceuticals
ALOG	Analogic Corp.
ALOT	Astro-Med
ALRN	American Learning Corp.
ALSK	Alaska Communications Systems
ALTE	Alterra Capital Holdings Ltd
ALTH	Allos Therapeutics
ALTI	Altair Nanotechnologies Inc.
ALTR	Altera Corp.
ALVR	Alvarion Ltd
ALXA	Alexza Pharmaceuticals
ALXN	Alexion Pharmaceuticals
AMAC	American Medical Alert
AMAG	Amag Pharmaceuticals
AMAP	Autonavi Holdings
AMAT	Applied Materials
AMBT	Ambient Corp
AMCC	Applied Micro Circuits Corp.
AMCF	Andatee China Marine Fuel Services
AMCN	Airmedia Group Inc
AMCX	Amc Networks Inc.
AMED	Amedisys Inc
AMGN	Amgen Inc.
AMIC	American Independence
AMKR	Amkor Technology
AMLN	Amylin Pharmaceuticals
AMNB	American National Bankshares
AMOT	Allied Motion Technologies
AMOV	America Movil S.A.B. De C.V.
AMPE	Ampio Pharmaceutical
AMPL	Ampal-American Israel Corp.
AMRB	American River Bankshares
AMRI	Albany Molecular Research
AMRN	Amarin Corporation Plc
AMRS	Amyris
AMSC	American Superconductor Corp.
AMSF	Amerisafe
AMSG	Amsurg
AMSWA	American Software
AMTC	Ameritrans Capital Corp.
AMTCP	Ameritrans Capital Corp.
AMTD	Td Ameritrade Holding Corp.
AMWD	American Woodmark Corp.
AMZN	Amazon.Com
ANAC	Anacor Pharmaceuticals
ANAD	Anadigics
ANAT	American National Insurance
ANCB	Anchor Bancorp
ANCI	American Caresource Holdings
ANCX	Access National Corp.
ANDE	The Andersons
ANDS	Anadys Pharmaceuticals
ANEN	Anaren
ANGN	Angeion Corp.
ANGO	Angiodynamics
ANIK	Anika Therapeutics Inc.
ANLY	Analysts International Corp.
ANNB	Annapolis Bancorp Inc.
ANSS	Ansys
